N_updates,N_timesteps,FPS,Reward_mean,Reward_median,Reward_min,Reward_max,Reward_std,Entropy,Value_loss,Action_loss,N_episodes,N_blocked_actions,N_violation,N_goal_reached,N_step_AVG,N_death,N_saved,N_death_by_end,Total_death,N_Total_episodes,N_break,Info_saved
0,192,-1531305276,0.0,0.0,0.0,0.0,0.0,1.9349533319473267,0.012647499330341816,0.018501581624150276,0.0,0.0,0,0,0,0,0,0,0,0,0,
10,2112,-1531305276,0.0,0.0,0.0,0.0,0.0,0.9093281030654907,0.002844141563400626,-0.03299352526664734,0.0,0.0,0,0,0,0,0,0,0,0,0,
20,4032,-1531305276,0.0,0.0,0.0,0.0,0.0,1.6267199516296387,0.00034206558484584093,0.008083862252533436,0.0,0.0,0,0,0,0,4,0,0,0,0,absence_waterAbsence_4_
30,5952,-1531305276,0.0,0.0,0.0,0.0,0.0,1.871066927909851,0.0004776056739501655,-0.003886478254571557,0.0,0.0,0,0,0,0,18,0,0,0,0,absence_waterAbsence_18_
40,7872,-1531305276,0.016666666915019352,0.0,0.0,0.800000011920929,0.11547005555856303,1.8470659255981445,0.00016070296987891197,0.0012146196095272899,0.0,0.0,0,1,2.8541666666666665,0,23,0,0,1,0,absence_waterAbsence_23_
50,9792,-1531305276,-1.0104166728754838,-1.0,-1.5,0.800000011920929,0.28452243618055423,1.8173303604125977,0.004300072323530912,0.10116324573755264,0.0,0.0,0,1,194.77083333333334,0,27,47,47,48,0,absence_waterAbsence_27_
60,11712,-1531305276,-1.0104166728754838,-1.0,-1.5,0.800000011920929,0.28452243618055423,1.8833951950073242,0.00013050578127149493,-0.004447139333933592,0.0,0.0,0,1,194.77083333333334,0,29,47,47,48,0,absence_waterAbsence_29_
70,13632,-1531305276,-1.0104166728754838,-1.0,-1.5,0.800000011920929,0.28452243618055423,1.9072284698486328,0.00017328631656710058,0.0027077137492597103,0.0,0.0,0,1,194.77083333333334,0,31,47,47,48,0,absence_waterAbsence_31_
80,15552,-1531305276,-1.0104166728754838,-1.0,-1.5,0.800000011920929,0.28452243618055423,1.903610110282898,0.0006292887264862657,-0.01243885513395071,0.0,0.0,0,1,194.77083333333334,0,41,47,47,48,0,absence_waterAbsence_41_
90,17472,-1531305276,-1.0520833407839139,-1.0,-1.5,-1.0,0.10103630372924223,1.862213373184204,9.623923688195646e-05,-0.007354562636464834,0.0,0.0,0,0,196.0,0,43,48,48,49,0,absence_waterAbsence_43_
100,19392,-1531305276,-1.039583335320155,-1.0,-1.2999999523162842,-1.0,0.08183944199526513,1.7230284214019775,0.0004349194641690701,-0.006233132444322109,0.0,0.0,0,0,196.0,0,44,95,95,96,0,absence_waterAbsence_44_
110,21312,-1531305276,-1.039583335320155,-1.0,-1.2999999523162842,-1.0,0.08183944199526513,1.9099065065383911,6.335978105198592e-05,-0.002360370708629489,0.0,0.0,0,0,196.0,0,44,95,95,96,0,absence_waterAbsence_44_
120,23232,-1531305276,-1.039583335320155,-1.0,-1.2999999523162842,-1.0,0.08183944199526513,1.9296215772628784,0.00015396992966998369,-0.0023820798378437757,0.0,0.0,0,0,196.0,0,45,95,95,96,0,absence_waterAbsence_45_
130,25152,-1531305276,-1.039583335320155,-1.0,-1.2999999523162842,-1.0,0.08183944199526513,1.8726872205734253,5.208680158830248e-05,0.000786920019891113,0.0,0.0,0,0,196.0,0,53,95,95,96,0,absence_waterAbsence_53_
140,27072,-1531305276,-1.0354166676600773,-1.0,-1.2999999523162842,-1.0,0.07852247484276913,1.8562768697738647,2.3860384317231365e-05,0.0017638748977333307,0.0,0.0,0,0,196.0,0,58,96,96,97,0,absence_waterAbsence_58_
